汉字	声、韵	调	是否白读	注释
听	tʰiŋ	44		
呈	tʰiŋ	24		
程	tʰiŋ	24		
停	tʰiŋ	24		
誊	tʰiŋ	24		
滕	tʰiŋ	24		
霆	tʰiŋ	24		
挺	tʰiŋ	53		
铤	tʰiŋ	53		
艇	tʰiŋ	53		
听	tʰiŋ	11		～侯
□	liŋ	44		的～：铃声
伶	liŋ	24		
囹	liŋ	24		
玲	liŋ	24		
铃	liŋ	24		
羚	liŋ	24		
聆	liŋ	24		
苓	liŋ	24		
翎	liŋ	24		
蛉	liŋ	24		
龄	liŋ	24		
零	liŋ	24		
能	liŋ	24		
龙	liŋ	24	白读	
宁	liŋ	24		
凌	liŋ	24		
陵	liŋ	24		
另	liŋ	24		～外
冷	liŋ	53		
岭	liŋ	53		
领	liŋ	53		
菱	liŋ	31		
令	liŋ	11		
曾	t͡siŋ	44		～经
增	t͡siŋ	44		
憎	t͡siŋ	44		
僧	t͡siŋ	44		
征	t͡siŋ	44		
争	t͡siŋ	44		
睁	t͡siŋ	44		
挣	t͡siŋ	44		
狰	t͡siŋ	44		
筝	t͡siŋ	44		
贞	t͡siŋ	44		
侦	t͡siŋ	44		
桢	t͡siŋ	44		
祯	t͡siŋ	44		
精	t͡siŋ	44		
睛	t͡siŋ	44		
晶	t͡siŋ	44		
蒸	t͡siŋ	44		
钟	t͡siŋ	44		
□	t͡siŋ	44	白读	敲打
甄	t͡siŋ	44		
惩	t͡siŋ	44		
情	t͡siŋ	24		
晴	t͡siŋ	24		
整	t͡siŋ	53		
肿	t͡siŋ	53	白读	
种	t͡siŋ	53	白读	～子
井	t͡siŋ	53		
静	t͡siŋ	31		
靖	t͡siŋ	31		
净	t͡siŋ	31		
正	t͡siŋ	11		
政	t͡siŋ	11		
证	t͡siŋ	11		
症	t͡siŋ	11		
众	t͡siŋ	11	白读	
种	t͡siŋ	11	白读	～菜
青	t͡sʰiŋ	44		
清	t͡sʰiŋ	44		
蜻	t͡sʰiŋ	44		
称	t͡sʰiŋ	44		～呼
请	t͡sʰiŋ	53		
□	t͡sʰiŋ	11		穿
铳	t͡sʰiŋ	11		一种旧式火器
生	siŋ	44		
甥	siŋ	44		
笙	siŋ	44		
牲	siŋ	44		
星	siŋ	44		
腥	siŋ	44		
声	siŋ	44		
升	siŋ	44		
成	siŋ	24		
诚	siŋ	24		
城	siŋ	24		
承	siŋ	24		
乘	siŋ	24		
省	siŋ	53		反～，浙江～
醒	siŋ	53		～悟
盛	siŋ	11		
胜	siŋ	11		
性	siŋ	11		
姓	siŋ	11		
圣	siŋ	11		
□	siŋ	11		用双脚踩实东西
经	kiŋ	44		
耕	kiŋ	44		
弓	kiŋ	44	白读	
宫	kiŋ	44	白读	
荆	kiŋ	44		
更	kiŋ	44		三～，～改
庚	kiŋ	44		
羹	kiŋ	44		
京	kiŋ	44		
惊	kiŋ	44		
鲸	kiŋ	44		
穷	kiŋ	24	白读	～鬼
景	kiŋ	53		
憬	kiŋ	53		
境	kiŋ	53		
耿	kiŋ	53		
痉	kiŋ	11		
警	kiŋ	11		
竟	kiŋ	11		
兢	kiŋ	11		
竞	kiŋ	11		
镜	kiŋ	11		
劲	kiŋ	11		
径	kiŋ	11		
□	kiŋ	11		
更	kiŋ	11		～加
敬	kiŋ	11		
儆	kiŋ	11		
卿	kʰiŋ	44		
钦	kʰiŋ	44		
□	kʰiŋ	44		过滤
筐	kʰiŋ	44	白读	
框	kʰiŋ	44	白读	
顷	kʰiŋ	53		
倾	kʰiŋ	53		～向
肯	kʰiŋ	53		
□	kʰiŋ	31		因病忌讳吃东西
虹	kʰiŋ	11		
庆	kʰiŋ	11		
罄	kʰiŋ	11		～竹难书
迎	ɡiŋ	24		
凝	ɡiŋ	24		
硬	ɡiŋ	31		
兴	hiŋ	44		～起
兄	hiŋ	44		
□	hiŋ	44		以槌击水的动作
形	hiŋ	24		
型	hiŋ	24		
刑	hiŋ	24		
邢	hiŋ	24		
行	hiŋ	24		～为
恒	hiŋ	24		
衡	hiŋ	24		
享	hiŋ	53		
杏	hiŋ	31		
幸	hiŋ	11		
兴	hiŋ	11		高～
行	hiŋ	11		品～
应	iŋ	44		～该
鹰	iŋ	44		
莺	iŋ	44		
英	iŋ	44		
瑛	iŋ	44		
婴	iŋ	44		
缨	iŋ	44		
樱	iŋ	44		
鹦	iŋ	44		
荣	iŋ	24		
营	iŋ	24		
萤	iŋ	24		
荧	iŋ	24		
萦	iŋ	24		
茔	iŋ	24		
盈	iŋ	24		
赢	iŋ	24		
瀛	iŋ	24		
永	iŋ	53	白读	～古：永久
影	iŋ	53		
用	iŋ	11	白读	
佣	iŋ	11	白读	
应	iŋ	11		答～
映	iŋ	11		
颖	iŋ	11		
泳	iŋ	11		
咏	iŋ	11		
□	iŋ	11		灌溉
帮	pɔŋ	44		
梆	pɔŋ	44		
旁	pɔŋ	24		
房	pɔŋ	24		
傍	pɔŋ	24		
膀	pɔŋ	24		
彷	pɔŋ	24		
榜	pɔŋ	53		
磅	pɔŋ	53		
□	pɔŋ	31		米煮滚后溢出
□	pɔŋ	31		消息很快传开
谤	pɔŋ	31		
泵	pɔŋ	31		
蓬	pʰɔŋ	24		
捧	pʰɔŋ	53		
碰	pʰɔŋ	11		
□	pʰɔŋ	11		凸出来
亡	bɔŋ	24		
忙	bɔŋ	24		
芒	bɔŋ	24		
茫	bɔŋ	24		
虻	bɔŋ	24		
蒙	bɔŋ	24		
朦	bɔŋ	24		
莽	bɔŋ	53		
蟒	bɔŋ	53		
网	bɔŋ	53		
懵	bɔŋ	53		～懂
妄	bɔŋ	53		～来：乱来，蛮干
梦	bɔŋ	11		
望	bɔŋ	11		
□	tɔŋ	44		
冬	tɔŋ	44		
当	tɔŋ	44		应～
裆	tɔŋ	44		
铛	tɔŋ	44		
同	tɔŋ	24		
筒	tɔŋ	24		
桐	tɔŋ	24		
铜	tɔŋ	24		
唐	tɔŋ	24		
塘	tɔŋ	24		
堂	tɔŋ	24		
膛	tɔŋ	24		
童	tɔŋ	24		
潼	tɔŋ	24		
僮	tɔŋ	24		
瞳	tɔŋ	24		
彤	tɔŋ	24		
党	tɔŋ	53		
董	tɔŋ	53		
懂	tɔŋ	53		
动	tɔŋ	31		
洞	tɔŋ	11		
荡	tɔŋ	11		
冻	tɔŋ	11		
栋	tɔŋ	11		
当	tɔŋ	11		～真
挡	tɔŋ	11		
通	tʰɔŋ	44		
统	tʰɔŋ	53		
桶	tʰɔŋ	53		
捅	tʰɔŋ	53		
倘	tʰɔŋ	53		
痛	tʰɔŋ	11		
农	lɔŋ	24		
浓	lɔŋ	24		
脓	lɔŋ	24		
隆	lɔŋ	24		
狼	lɔŋ	24		
郎	lɔŋ	24		
廊	lɔŋ	24		
榔	lɔŋ	24		
龙	lɔŋ	24		
笼	lɔŋ	24		
垄	lɔŋ	24		
拢	lɔŋ	53		
陇	lɔŋ	53		
朗	lɔŋ	53		
琅	lɔŋ	53		
弄	lɔŋ	11		
浪	lɔŋ	11		
宗	t͡sɔŋ	44		
综	t͡sɔŋ	44		
踪	t͡sɔŋ	44		
棕	t͡sɔŋ	44		
庄	t͡sɔŋ	44		
奘	t͡sɔŋ	44		
装	t͡sɔŋ	44		
藏	t͡sɔŋ	24		
总	t͡sɔŋ	53		
壮	t͡sɔŋ	11		
状	t͡sɔŋ	11		
葬	t͡sɔŋ	11		
粽	t͡sɔŋ	11		
仓	t͡sʰɔŋ	44		
苍	t͡sʰɔŋ	44		
沧	t͡sʰɔŋ	44		
舱	t͡sʰɔŋ	44		
疮	t͡sʰɔŋ	44		
聪	t͡sʰɔŋ	44		
匆	t͡sʰɔŋ	44		
葱	t͡sʰɔŋ	44		
丛	t͡sʰɔŋ	24		～书
创	t͡sʰɔŋ	11		
松	sɔŋ	44		
双	sɔŋ	44		
丧	sɔŋ	44		婚～
桑	sɔŋ	44		
霜	sɔŋ	44		
孀	sɔŋ	44		
爽	sɔŋ	53		
宋	sɔŋ	11		
送	sɔŋ	11		
颂	sɔŋ	11		
诵	sɔŋ	11		
光	kɔŋ	44		
工	kɔŋ	44		
功	kɔŋ	44		
攻	kɔŋ	44		
缸	kɔŋ	44		
公	kɔŋ	44		
蚣	kɔŋ	44		
狂	kɔŋ	24		
诳	kɔŋ	24		
逛	kɔŋ	24		
广	kɔŋ	53		
讲	kɔŋ	53	白读	～话
栱	kɔŋ	53		米～：量米的器具
贡	kɔŋ	11		
杠	kɔŋ	11		
拱	kɔŋ	11		
空	kʰɔŋ	44		
匡	kʰɔŋ	44		
框	kʰɔŋ	44		
康	kʰɔŋ	44		
慷	kʰɔŋ	44		
糠	kʰɔŋ	44		
□	kʰɔŋ	24		～工夫：浪费、担搁时间
□	kʰɔŋ	24		窑
孔	kʰɔŋ	53		
矿	kʰɔŋ	11		
旷	kʰɔŋ	11		
抗	kʰɔŋ	11		
空	kʰɔŋ	11		亏～
控	kʰɔŋ	11		
昂	ɡɔŋ	24		
戆	ɡɔŋ	11		笨，傻
方	hɔŋ	44		
肪	hɔŋ	44		
芳	hɔŋ	44		
风	hɔŋ	44		
讽	hɔŋ	44		
枫	hɔŋ	44		
丰	hɔŋ	44		
封	hɔŋ	44		
峰	hɔŋ	44		
蜂	hɔŋ	44		
锋	hɔŋ	44		
烽	hɔŋ	44		
荒	hɔŋ	44		
慌	hɔŋ	44		
谎	hɔŋ	44		
红	hɔŋ	24		
鸿	hɔŋ	24		
逢	hɔŋ	24		
缝	hɔŋ	24		
防	hɔŋ	24		
弘	hɔŋ	24		
宏	hɔŋ	24		
虹	hɔŋ	24		
洪	hɔŋ	24		
皇	hɔŋ	24		
蝗	hɔŋ	24		
凰	hɔŋ	24		
徨	hɔŋ	24		
黄	hɔŋ	24		
簧	hɔŋ	24		
□	hɔŋ	24		毒蛇的毒液
仿	hɔŋ	53		
纺	hɔŋ	53		
访	hɔŋ	53		
恍	hɔŋ	53		
晃	hɔŋ	53		
幌	hɔŋ	53		
轰	hɔŋ	31		
况	hɔŋ	11		
放	hɔŋ	11		
奉	hɔŋ	11		
俸	hɔŋ	11		
凤	hɔŋ	11		
缝	hɔŋ	11		裂～
翁	ɔŋ	44		
汪	ɔŋ	44		
□	ɔŋ	44		玩耍时因不满而变脸
□	ɔŋ	44		持槌状物击桩；以锄头敲打土块
王	ɔŋ	24		
□	ɔŋ	24		～侬：逗笑人；～客：只问价钱不购买的顾客
往	ɔŋ	53		
枉	ɔŋ	53		
旺	ɔŋ	11		
□	ɔŋ	11		腿陷入泥中
中	tiɔŋ	44		
忠	tiɔŋ	44		
衷	tiɔŋ	44		～心
张	tiɔŋ	44		
长	tiɔŋ	24		～短
重	tiɔŋ	24		～复
场	tiɔŋ	24		
肠	tiɔŋ	24		
长	tiɔŋ	53		生～
重	tiɔŋ	31		～要
仲	tiɔŋ	31		
中	tiɔŋ	11		～壮元
胀	tiɔŋ	11		
衷	tʰiɔŋ	44		苦～
虫	tʰiɔŋ	24		
冢	tʰiɔŋ	53		
宠	tʰiɔŋ	53		
丈	tʰiɔŋ	31		
仗	tʰiɔŋ	31		
杖	tʰiɔŋ	31		
畅	tʰiɔŋ	31		舒～
畅	tʰiɔŋ	11	白读	高兴
良	liɔŋ	24		
粮	liɔŋ	24		
凉	liɔŋ	24		
梁	liɔŋ	24		
粱	liɔŋ	24		
量	liɔŋ	24		测～
两	liɔŋ	53		
俩	liɔŋ	53		
辆	liɔŋ	53		
量	liɔŋ	11		重～
谅	liɔŋ	11		
亮	liɔŋ	11		
章	t͡siɔŋ	44		
漳	t͡siɔŋ	44		
樟	t͡siɔŋ	44		
彰	t͡siɔŋ	44		
障	t͡siɔŋ	44		
璋	t͡siɔŋ	44		
终	t͡siɔŋ	44		
将	t͡siɔŋ	44		～军
锺	t͡siɔŋ	44		
钟	t͡siɔŋ	44		
盅	t͡siɔŋ	44		
□	t͡siɔŋ	44		～搁：做
从	t͡siɔŋ	24		服～，～容
种	t͡siɔŋ	53		～类
掌	t͡siɔŋ	53		
奖	t͡siɔŋ	53		
蒋	t͡siɔŋ	53		
将	t͡siɔŋ	11		大～
状	t͡siɔŋ	11	白读	～元
充	t͡sʰiɔŋ	44		
冲	t͡sʰiɔŋ	44		
昌	t͡sʰiɔŋ	44		
猖	t͡sʰiɔŋ	44		
枪	t͡sʰiɔŋ	44		
锵	t͡sʰiɔŋ	44		
墙	t͡sʰiɔŋ	24		
闯	t͡sʰiɔŋ	53		
抢	t͡sʰiɔŋ	53		
像	t͡sʰiɔŋ	31		
象	t͡sʰiɔŋ	31		
匠	t͡sʰiɔŋ	31		
倡	t͡sʰiɔŋ	11		
唱	t͡sʰiɔŋ	11		
□	t͡sʰiɔŋ	11		乱闯
娼	t͡sʰiɔŋ	11		
相	siɔŋ	44		互～
厢	siɔŋ	44		
湘	siɔŋ	44		
箱	siɔŋ	44		
商	siɔŋ	44		
伤	siɔŋ	44		
襄	siɔŋ	44		
镶	siɔŋ	44		
祥	siɔŋ	24		
详	siɔŋ	24		
翔	siɔŋ	24		
常	siɔŋ	24		
裳	siɔŋ	24		
尝	siɔŋ	24		
偿	siɔŋ	24		
赏	siɔŋ	53		
想	siɔŋ	53		
相	siɔŋ	11		宰～
上	siɔŋ	11		
尚	siɔŋ	11		
绒	ziɔŋ	24		
茸	ziɔŋ	24		
瓤	ziɔŋ	24		
嚷	ziɔŋ	53		
壤	ziɔŋ	53		
让	ziɔŋ	11		
弓	kiɔŋ	44		
躬	kiɔŋ	44		
宫	kiɔŋ	44		
供	kiɔŋ	44		～应，口～
恭	kiɔŋ	44		
疆	kiɔŋ	44		
僵	kiɔŋ	44		
缰	kiɔŋ	44		
姜	kiɔŋ	44		鲜～
穷	kiɔŋ	24		
强	kiɔŋ	24		
琼	kiɔŋ	24		
巩	kiɔŋ	53		
共	kiɔŋ	11		
姜	kʰiɔŋ	44		姓
羌	kʰiɔŋ	44		
恐	kʰiɔŋ	53		
仰	ɡiɔŋ	53		
凶	hiɔŋ	44		
汹	hiɔŋ	44		
匈	hiɔŋ	44		
胸	hiɔŋ	44		
乡	hiɔŋ	44		
香	hiɔŋ	44		
雄	hiɔŋ	24		英～
熊	hiɔŋ	24		
响	hiɔŋ	53		
向	hiɔŋ	11		
饷	hiɔŋ	11		
央	iɔŋ	44		
鸯	iɔŋ	44		
秧	iɔŋ	44		
泱	iɔŋ	44		
殃	iɔŋ	44		
秧	iɔŋ	44		
鞅	iɔŋ	44		
拥	iɔŋ	44		
臃	iɔŋ	44		
痈	iɔŋ	44		
羊	iɔŋ	24		
洋	iɔŋ	24		
佯	iɔŋ	24		
烊	iɔŋ	24		
容	iɔŋ	24		
溶	iɔŋ	24		
熔	iɔŋ	24		
蓉	iɔŋ	24		
榕	iɔŋ	24		
阳	iɔŋ	24		
扬	iɔŋ	24		
杨	iɔŋ	24		
疡	iɔŋ	24		
融	iɔŋ	24		
庸	iɔŋ	24		
养	iɔŋ	53		
痒	iɔŋ	53		
氧	iɔŋ	53		
永	iɔŋ	53		
勇	iɔŋ	53		
涌	iɔŋ	53		
踊	iɔŋ	53		
用	iɔŋ	11		
佣	iɔŋ	11		
样	iɔŋ	11		
漾	iɔŋ	11		
恙	iɔŋ	11		
边	pĩ	44	白读	
绷	pĩ	44	白读	～鼓：绷紧鼓面的皮
平	pĩ	24	白读	
坪	pĩ	24	白读	
扁	pĩ	53	白读	
辫	pĩ	31	白读	～仔：辫子
柄	pĩ	11	白读	
病	pĩ	11	白读	
篇	pʰĩ	44	白读	
彭	pʰĩ	24	白读	姓
澎	pʰĩ	24	白读	
□	bĩ	44		用五指抓物
棉	bĩ	24	白读	
绵	bĩ	24	白读	
盲	bĩ	24	白读	青～：眼瞎
冥	bĩ	24		一～：一夜
弥	bĩ	53		
尾	bĩ	53		
面	bĩ	11	白读	燥～：挂面
甜	tĩ	44	白读	
缠	tĩ	24	白读	
郑	tĩ	11		
□	tĩ	11		用力（干事）
天	tʰĩ	44	白读	
添	tʰĩ	44	白读	
□	tʰĩ	11		～衫：缝补衣服
□	tʰĩ	11		抵
奶	lĩ	44	白读	
尼	lĩ	24		
呢	lĩ	24		
泥	lĩ	24		
妮	lĩ	24		
年	lĩ	24	白读	
捏	lĩ	24	白读	用手～
尔	lĩ	53		
你	lĩ	53		
耳	lĩ	53		
染	lĩ	53	白读	
呢	lĩ	31		语气词
腻	lĩ	11		细～，光滑
□	lĩ	11		踮着脚跟看
精	t͡sĩ	44	白读	妖～
争	t͡sĩ	44	白读	相～
□	t͡sĩ	44		硬塞
钱	t͡sĩ	24	白读	铜～：钱币
晴	t͡sĩ	24	白读	
井	t͡sĩ	53	白读	
□	t͡sĩ	53		嫩，幼小
箭	t͡sĩ	11	白读	
诤	t͡sĩ	11		以言论相争
将	t͡sĩ	11	白读	马～：麻将
星	t͡sʰĩ	44	白读	
青	t͡sʰĩ	44	白读	
腥	t͡sʰĩ	44	白读	
生	t͡sʰĩ	44	白读	～熟
醒	t͡sʰĩ	53	白读	困一～：睡一觉
生	sĩ	44	白读	～病
姓	sĩ	11	白读	
扇	sĩ	11	白读	纸～
□	sĩ	11		～菜：腌菜
更	kĩ	44	白读	三～
经	kĩ	44	白读	～布
钳	kĩ	24	白读	火～
缘	kĩ	24	白读	边沿
哽	kĩ	53	白读	
见	kĩ	11	白读	～面
坑	kʰĩ	44	白读	
□	kʰĩ	24		攀
硬	ɡĩ	31	白读	
砚	hĩ	11	白读	墨～：砚台
婴	ĩ	44	白读	
□	ĩ	44	白读	塍～：蜻蜒
圆	ĩ	24	白读	
院	ĩ	11	白读	学～
燕	ĩ	11	白读	～仔：燕子
奴	lũ	24		
努	lũ	24		
怒	lũ	11		
爿	pũĩ	24		柴～：片柴
反	pũĩ	53	白读	翻
枚	bũĩ	24		
玫	bũĩ	24		
媒	bũĩ	24		
煤	bũĩ	24		
梅	bũĩ	24		
每	bũĩ	53		
妹	bũĩ	11		
前	t͡sũĩ	24	白读	面～：前面
指	t͡sũĩ	53	白读	尾～：小指头
千	t͡sʰũĩ	44	白读	
先	sũĩ	44	白读	～去
关	kũĩ	44	白读	～门
间	kũĩ	44	白读	
悬	kũĩ	24	白读	高
拣	kũĩ	53	白读	
茧	kũĩ	53	白读	
县	kũĩ	11	白读	
开	kʰũĩ	44	白读	～门
横	hũĩ	24	白读	～直
妈	bã	44		母亲
马	bã	53		
码	bã	53		
妈	bã	53		祖母
骂	bã	11		
拿	lã	24		
□	lã	11		留宿
雅	ɡã	53		
□	hã	24		答应语气词
□	ã	24		追问语气词
平	pĩã	24		～仄
饼	pĩã	53	白读	
丙	pĩã	53	白读	
摒	pĩã	11		～水：倒水
名	bĩã	24	白读	～字
命	bĩã	11	白读	好～
□	tĩã	44		因酒醉等原因走路摇晃的样子
呈	tĩã	24	白读	
庭	tĩã	24	白读	场～：场院
鼎	tĩã	53	白读	锅
蝊	tĩã	31		
定	tĩã	11	白读	～亲：订婚
听	tʰĩã	44	白读	
厅	tʰĩã	44	白读	
痛	tʰĩã	11	白读	
岭	lĩã	53	白读	
领	lĩã	53	白读	
正	t͡sĩã	44	白读	～月
精	t͡sĩã	44	白读	～肉：瘦肉
情	t͡sĩã	24	白读	亲～：亲戚
□	t͡sĩã	53		淡
正	t͡sĩã	11	白读	～式
□	t͡sʰĩã	24		（搞）坏了
且	t͡sʰĩã	53		
请	t͡sʰĩã	53	白读	
□	t͡sʰĩã	31		打擦声
声	sĩã	44	白读	
城	sĩã	24	白读	
□	sĩã	24		以食物诱捕动物
啥	sĩã	53	白读	什么
圣	sĩã	11	白读	灵验
□	sĩã	11		旧时送礼用的盛具
京	kĩã	44	白读	
惊	kĩã	44	白读	
件	kĩã	31	白读	
镜	kĩã	11	白读	目～：眼镜
迎	ɡĩã	24	白读	～灯
仰	ɡĩã	24	白读	
兄	hĩã	44	白读	
□	hĩã	53		搂抱（东西）
□	hĩã	31		篮～：篮系几
□	hĩã	11		身体后仰，快跌倒的样子
缨	ĩã	44	白读	红～
□	ĩã	44		水～：圆形的水波
营	ĩã	24	白读	
赢	ĩã	24	白读	
影	ĩã	53	白读	电～，有～，无～
搬	pũã	44	白读	
盘	pũã	24	白读	～碗，～点
□	pũã	31		拂打
半	pũã	11	白读	
雇	pũã	11	白读	
潘	pʰũã	44	白读	姓
般	pʰũã	44	白读	
□	pʰũã	24		溢
伴	pʰũã	31	白读	
叛	pʰũã	31	白读	
判	pʰũã	31	白读	
雇	pʰũã	11	白读	又读
鳗	bũã	24	白读	
瞒	bũã	24	白读	
麻	bũã	24	白读	
满	bũã	53	白读	
□	bũã	11		向：～东，～西
单	tũã	44	白读	
弹	tũã	24	白读	～棉花
坛	tũã	24	白读	
惮	tũã	31	白读	懒
段	tũã	31	白读	
旦	tũã	11	白读	花～
滩	tʰũã	44	白读	
摊	tʰũã	44	白读	
㔊	tʰũã	53		～草：锄草
炭	tʰũã	11	白读	
□	tʰũã	11		松，不紧
栏	lũã	24	白读	～牛
□	lũã	53		～面：揉面
澜	lũã	31		唾液
□	lũã	31		鸡～：小母鸡
烂	lũã	11	白读	
煎	t͡sũã	44	白读	～药
泉	t͡sũã	24	白读	～水
盏	t͡sũã	53	白读	
溅	t͡sũã	31	白读	
串	t͡sʰũã	11	白读	门～：门闩
山	sũã	44	白读	
汕	sũã	44	白读	～头
散	sũã	53	白读	～开，～裂
散	sũã	11	白读	分～
线	sũã	11	白读	
伞	sũã	11	白读	
肝	kũã	44	白读	
官	kũã	44	白读	
棺	kũã	44	白读	
倌	kũã	44	白读	
干	kũã	44	白读	鱼～
竿	kũã	44	白读	竹～
寒	kũã	24	白读	～天：冷天
赶	kũã	53	白读	
寡	kũã	53		
□	kũã	31		～水：提水
汗	kũã	11	白读	
看	kʰũã	11	白读	～牛：牧牛
欢	hũã	24	白读	
岸	hũã	11	白读	塍～：田梗
焊	hũã	11	白读	
□	hũã	11		扶住东西，免其倾斜
鞍	ũã	44	白读	
碗	ũã	53	白读	
腕	ũã	53	白读	
旱	ũã	31	白读	
晏	ũã	11	白读	迟，晚
换	ũã	11	白读	
毛	bɔ̃	24		
麻	bɔ̃	24		
磨	bɔ̃	24		～刀
摩	bɔ̃	24		
魔	bɔ̃	24		
冒	bɔ̃	11		
磨	bɔ̃	11		推～
帽	bɔ̃	11		
老	lɔ̃	53		
佬	lɔ̃	53		
考	kʰɔ̃	53		
可	kʰɔ̃	53		
俄	ɡɔ̃	24		
娥	ɡɔ̃	24		
蛾	ɡɔ̃	24		
鹅	ɡɔ̃	24		
熬	ɡɔ̃	24		
鏊	ɡɔ̃	24		
鳌	ɡɔ̃	24		
我	ɡɔ̃	53		
饿	ɡɔ̃	11		
傲	ɡɔ̃	11		
好	hɔ̃	53		～坏
火	hɔ̃	53		
伙	hɔ̃	53		
好	hɔ̃	11		～客
货	hɔ̃	11		
□	ɔ̃	44		哄小孩睡的声音
□	ɔ̃	24		语气词，表示遗憾不满情绪
冇	pʰə̃	11		内虚，不结实；形容花钱无计划
担	tə̃	44	白读	～担，扁～
胆	tə̃	53	白读	
担	tə̃	11	白读	担～
□	tə̃	11		差错
林	lə̃	24	白读	树～
篮	lə̃	24	白读	
挪	lə̃	24		
那	lə̃	53		
哪	lə̃	53		
娜	lə̃	53		
□	lə̃	53		凹
若	lə̃	11	白读	如果
□	t͡sə̃	24		轻跳
三	sə̃	44	白读	
相	sə̃	44	白读	～同
衫	sə̃	44	白读	衣裳
监	kə̃	44	白读	～牢
柑	kə̃	44	白读	
□	kə̃	24		现在
敢	kə̃	53	白读	
仔	kə̃	53		椅～：椅子
□	pãĩ	31		打锣声
糜	bãĩ	44		饭
买	bãĩ	53		
卖	bãĩ	11		
迈	bãĩ	11		
□	tãĩ	44		敲小锣的声音
店	tãĩ	11		
□	tãĩ	11		坚硬
奶	lãĩ	44		
□	lãĩ	44		扭动身体去痒
乃	lãĩ	53		
耐	lãĩ	11		
奈	lãĩ	11		
荔	lãĩ	11		～枝
赖	lãĩ	11		
癞	lãĩ	11		
□	hãĩ	53		那样
闲	ãĩ	24	白读	
□	ãĩ	53		这样
矛	bə̃ũ	24		
茅	bə̃ũ	24		
蟊	bə̃ũ	24		
□	bə̃ũ	53		不聪明能干；坏
貌	bə̃ũ	11		
脑	lə̃ũ	53		
张	tĩũ	44	白读	
场	tĩũ	24	白读	
长	tĩũ	53	白读	县～
丈	tĩũ	31	白读	姑～
帐	tĩũ	31	白读	蠓～：蚊帐
胀	tĩũ	11	白读	
□	lĩũ	44		椅仔～：小椅子
娘	lĩũ	24	白读	
粮	lĩũ	24	白读	
量	lĩũ	24	白读	～米
梁	lĩũ	24	白读	
两	lĩũ	53	白读	斤～
让	lĩũ	11	白读	
章	t͡sĩũ	44	白读	文～
浆	t͡sĩũ	44	白读	豆～
樟	t͡sĩũ	44	白读	
蒋	t͡sĩũ	53	白读	
桨	t͡sĩũ	53	白读	
痒	t͡sĩũ	31	白读	
上	t͡sĩũ	31	白读	～山
□	t͡sĩũ	31		怎么，怎样
酱	t͡sĩũ	11	白读	
浆	t͡sĩũ	11	白读	
枪	t͡sʰĩũ	44	白读	
墙	t͡sʰĩũ	24	白读	
厂	t͡sʰĩũ	53	白读	
抢	t͡sʰĩũ	53	白读	
象	t͡sʰĩũ	31	白读	
像	t͡sʰĩũ	31	白读	亲～：相像
上	t͡sʰĩũ	31	白读	～梁
唱	t͡sʰĩũ	11	白读	
箱	sĩũ	44	白读	
□	sĩũ	24		形容做事缓慢，不干脆利索
赏	sĩũ	53	白读	
鲞	sĩũ	53		
想	sĩũ	31	白读	
相	sĩũ	11	白读	生～：生肖
姜	kĩũ	44	白读	生～
□	kĩũ	31		违拗，不听话
腔	kʰĩũ	44	白读	～调
香	hĩũ	44	白读	烧～
乡	hĩũ	44	白读	
向	hĩũ	11	白读	西～：西面
羊	ĩũ	24	白读	
洋	ĩũ	24	白读	
杨	ĩũ	24	白读	
烊	ĩũ	24	白读	冰～：化冰
养	ĩũ	53	白读	
□	ĩũ	53		～水：舀水
样	ĩũ	11	白读	
猫	zĩãũ	44	白读	
摇	zĩãũ	24	白读	轻轻地动；干轻活
鸟	zĩãũ	53		
□	zĩãũ	11		粗糙，不光滑
梅	m̩	24	白读	树～：杨梅
姆	m̩	53		伯母
䘼	m̩	53	白读	又读，手～
吥	m̩	31		不
枫	pŋ̍	44	白读	～树
本	pŋ̍	53	白读	～钱
□	bŋ̍	44		雨～：毛毛细雨
门	bŋ̍	24	白读	
毛	bŋ̍	24	白读	
问	bŋ̍	11	白读	
当	tŋ̍	44	白读	～兵
堂	tŋ̍	24	白读	
肠	tŋ̍	24	白读	
长	tŋ̍	24	白读	～期
转	tŋ̍	53	白读	返回
涨	tŋ̍	53	白读	潮水～
丈	tŋ̍	31	白读	一～
断	tŋ̍	31	白读	
当	tŋ̍	11	白读	～店：当铺
汤	tʰŋ̍	44	白读	
糖	tʰŋ̍	24	白读	
脱	tʰŋ̍	11	白读	～衫，～裤
烫	tʰŋ̍	11	白读	
软	lŋ̍	53	白读	
两	lŋ̍	31	白读	～分
卵	lŋ̍	31	白读	鸡～：鸡蛋
□	lŋ̍	11		钻
装	t͡sŋ̍	44	白读	
妆	t͡sŋ̍	44	白读	
庄	t͡sŋ̍	44	白读	
砖	t͡sŋ̍	44	白读	
□	t͡sŋ̍	24		苍蝇～物
□	t͡sŋ̍	24		齐～：齐全
指	t͡sŋ̍	53	白读	～甲
钻	t͡sŋ̍	11	白读	～仔：锥子
仓	t͡sʰŋ̍	44	白读	
疮	t͡sʰŋ̍	44	白读	
舱	t͡sʰŋ̍	44	白读	
穿	t͡sʰŋ̍	44	白读	～针
床	t͡sʰŋ̍	24	白读	
串	t͡sʰŋ̍	11	白读	
□	t͡sʰŋ̍	11		阴凉药物刺激皮肤的感觉
